Thu May 22 00:58:14 2025    out.prof

         81000586 function calls (80994289 primitive calls) in 41.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.017    0.017    0.017    0.017 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pycparser\c_ast.py:1(<module>)
    67771    0.017    0.000    0.017    0.000 {built-in method _struct.pack}
       96    0.000    0.000    0.017    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\threading.py:323(wait)
  578/386    0.014    0.000    0.016    0.000 {method 'acquire' of '_thread.lock' objects}
     6161    0.016    0.000    0.016    0.000 {built-in method pygame.key.get_pressed}
     5286    0.003    0.000    0.016    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:110(draw)
        1    0.000    0.000    0.015    0.015 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\cpython\charseq.py:1(<module>)
     6161    0.005    0.000    0.014    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:401(process)
    20786    0.003    0.000    0.014    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\templates.py:1322(new_registrations)
    19616    0.014    0.000    0.014    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:39(get)
     1976    0.002    0.000    0.013    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\base.py:352(install_registry)
    80163    0.013    0.000    0.013    0.000 {method 'items' of 'dict' objects}
       97    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.013    0.006 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\codegen.py:789(_finalize_final_module)
        1    0.000    0.000    0.013    0.013 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\codegen.py:747(finalize)
   159564    0.012    0.000    0.012    0.000 {built-in method math.floor}
    12320    0.008    0.000    0.012    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:603(__del__)
        1    0.000    0.000    0.012    0.012 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\cpython\unicode.py:1(<module>)
       96    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       96    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        2    0.000    0.000    0.012    0.006 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\codegen.py:1004(_finalize_specific)
     6161    0.012    0.000    0.012    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\game.py:104(apply_scroll)
        6    0.000    0.000    0.011    0.002 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\codegen.py:1066(wrapper)
        2    0.000    0.000    0.011    0.006 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
       48    0.000    0.000    0.011    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:87(enable)
18494/18482    0.002    0.000    0.011    0.000 {built-in method builtins.next}
       48    0.000    0.000    0.011    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:94(disable)
      881    0.002    0.000    0.011    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:717(update)
       94    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      108    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
    47304    0.006    0.000    0.011    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:811(<lambda>)
     1012    0.003    0.000    0.011    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\templates.py:887(make_overload_template)
      338    0.010    0.000    0.010    0.000 {built-in method nt.stat}
      331    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
14506/14467    0.009    0.000    0.010    0.000 {built-in method __new__ of type object at 0x00007FF90F3598F0}
       94    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
      5/3    0.000    0.000    0.009    0.003 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\typed\__init__.py:10(__getattr__)
     6161    0.003    0.000    0.009    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:365(process)
     1321    0.002    0.000    0.009    0.000 <frozen abc>:105(__new__)
      116    0.000    0.000    0.009    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_itertools.py:4(unique_everseen)
      115    0.000    0.000    0.009    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:469(entry_points)
       94    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
    16549    0.004    0.000    0.009    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\utils.py:475(stream_list)
1860/1858    0.001    0.000    0.008    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\types\abstract.py:61(__call__)
     3524    0.004    0.000    0.008    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:636(update)
        1    0.000    0.000    0.008    0.008 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\caching.py:684(_load_overload)
     6161    0.002    0.000    0.008    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:445(process)
      239    0.000    0.000    0.007    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\extending.py:207(decorate)
      115    0.000    0.000    0.007    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\__init__.py:811(read_text)
    12322    0.003    0.000    0.007    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:710(use)
    53990    0.007    0.000    0.007    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.007    0.007 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\caching.py:437(rebuild)
        1    0.000    0.000    0.007    0.007 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\compiler.py:227(_rebuild)
    12322    0.007    0.000    0.007    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:648(swizzle)
        1    0.000    0.000    0.007    0.007 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\codegen.py:1165(unserialize_library)
        1    0.000    0.000    0.007    0.007 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\codegen.py:933(_unserialize)
    12322    0.007    0.000    0.007    0.000 {method 'get_buffer' of 'pygame.surface.Surface' objects}
     6161    0.002    0.000    0.006    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:484(process)
      115    0.000    0.000    0.006    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\pathlib.py:1022(read_text)
